Table 43: Selling Conditions for Houses
Month,Year,Good time to Sell,Uncertain / Depends,Bad time to Sell,Relative,
5,2016,64,3,33,131,
6,2016,60,6,34,126,
7,2016,63,4,33,130,
8,2016,69,2,29,140,
9,2016,61,5,34,127,
10,2016,59,3,38,121,
11,2016,59,4,37,122,
12,2016,59,4,37,122,
1,2017,63,5,32,131,
2,2017,64,3,33,131,
3,2017,69,4,27,142,
4,2017,69,4,27,142,
5,2017,73,3,24,149,
6,2017,69,5,26,143,
7,2017,70,4,26,144,
8,2017,70,3,27,143,
9,2017,70,5,25,145,
10,2017,71,4,25,146,
11,2017,68,4,28,140,
12,2017,67,4,29,138,
1,2018,66,6,28,138,
2,2018,73,3,24,149,
3,2018,77,3,20,157,
4,2018,72,3,25,147,
5,2018,76,3,21,155,
6,2018,75,4,21,154,
7,2018,77,2,21,156,
8,2018,73,5,22,151,
9,2018,72,6,22,150,
10,2018,72,6,22,150,
11,2018,72,4,24,148,
12,2018,69,3,28,141,
1,2019,64,5,31,133,
2,2019,69,3,28,141,
3,2019,71,5,24,147,
4,2019,75,4,21,154,
5,2019,76,3,21,155,
6,2019,76,5,19,157,
7,2019,73,3,24,149,
8,2019,78,2,20,158,
9,2019,74,5,21,153,
10,2019,76,5,19,157,
11,2019,72,2,26,146,
12,2019,76,4,20,156,
1,2020,74,3,23,151,
2,2020,74,3,23,151,
3,2020,68,3,29,139,
4,2020,29,2,69,60,
5,2020,29,3,68,61,
6,2020,39,3,58,81,
7,2020,47,3,50,97,
8,2020,55,2,43,112,
9,2020,60,4,36,124,
10,2020,60,3,37,123,
11,2020,61,3,36,125,
12,2020,58,2,40,118,
1,2021,60,3,37,123,
2,2021,65,2,33,132,
3,2021,70,1,29,141,
4,2021,73,3,24,149,
5,2021,80,2,18,162,
6,2021,79,2,19,160,
7,2021,79,2,19,160,
8,2021,83,2,15,168,
9,2021,78,3,19,159,
10,2021,80,2,18,162,
11,2021,81,2,17,164,
12,2021,81,3,16,165,
1,2022,79,3,18,161,
2,2022,82,4,14,168,
3,2022,79,3,18,161,
4,2022,80,3,17,163,
5,2022,78,5,17,161,
6,2022,79,2,19,160,
7,2022,70,3,27,143,
8,2022,69,2,29,140,
9,2022,68,3,29,139,
10,2022,59,4,37,122,
11,2022,56,1,43,113,
12,2022,54,2,44,110,
1,2023,53,3,44,110,
2,2023,50,5,45,105,
3,2023,61,2,37,124,
4,2023,58,4,38,120,
5,2023,55,4,41,114,
6,2023,60,5,35,125,
7,2023,59,4,37,122,
