,HPI,Date,InterestDiscount,Avg Mortgage,gdp,Cons. Sentiment Index,cpi,population,employed population,avg house sales price,monthly new houses,new houses authorized,new houses completed,ppi
258,265.553,2021-07-01,0.25,2.868,59169.0,81.2,0.481052352629404,261469,152782,473000.0,5.7,1618.0,1361.0,313.54200000000003
259,268.829,2021-08-01,0.25,2.8425,,70.3,0.20659113636116103,261611,153211,,6.5,1837.0,1312.0,313.08299999999997
260,271.486,2021-09-01,,2.9,,72.8,0.27159708590582105,261766,153867,,6.0,1636.0,1232.0,317.13599999999997
261,273.698,2021-10-01,,3.0675,60117.0,71.7,0.830811855200318,261908,154395,497300.0,6.8,1727.0,1259.0,322.12
262,276.07,2021-11-01,,3.0675,,67.4,0.491342750434762,262029,155535,,6.0,1775.0,1389.0,328.94
263,278.654,2021-12-01,,3.098,,70.6,0.307251716148357,262136,156081,,5.6,1948.0,1337.0,335.032
264,282.041,2022-01-01,,3.445,59836.0,67.2,0.8414573783545228,263202,157122,514100.0,5.8,1898.0,1256.0,345.74199999999996
265,287.286,2022-02-01,,3.7625,,62.8,0.913397925647697,263324,157590,,6.2,1817.0,1371.0,343.583
266,295.117,2022-03-01,,4.172,,59.4,1.3351379548562698,263444,158328,,7.0,1877.0,1356.0,345.852
267,301.773,2022-04-01,,4.9825,59688.0,65.2,0.5582531025654971,263559,157982,527500.0,8.5,1795.0,1361.0,343.786
268,306.5540000000001,2022-05-01,,5.23,,58.4,1.1023523999598799,263679,158299,,8.3,1708.0,1446.0,353.015
269,308.323,2022-06-01,,5.522,,50.0,1.37360757588199,263835,158057,,9.5,1701.0,1392.0,349.8
270,307.13,2022-07-01,,5.4125,60080.0,51.5,-0.0118119138337545,264012,158272,547800.0,10.1,1658.0,1396.0,346.79
271,303.647,2022-08-01,,5.2225,,58.2,-0.0354399276350673,264184,158694,,8.7,1586.0,1355.0,342.75300000000004
272,300.439,2022-09-01,,6.112,,58.6,0.21507845130010397,264356,158850,,9.7,1588.0,1438.0,336.464
273,298.651,2022-10-01,,6.9,60376.0,59.9,0.405649443411221,264535,158593,552600.0,9.7,1555.0,1348.0,333.796
274,296.836,2022-11-01,,6.805,,56.8,-0.10100264418881401,264708,158527,,9.4,1402.0,1543.0,330.369
275,294.319,2022-12-01,,6.364,,59.7,-0.307009146454112,264844,159244,,8.5,1409.0,1390.0,326.449
276,292.715,2023-01-01,,6.2725,60611.0,64.9,0.799536383454017,265962,160138,505300.0,8.1,1354.0,1377.0,327.33799999999997
277,293.341,2023-02-01,,6.2575,,67.0,0.5582110505732301,266112,160315,,8.4,1482.0,1577.0,330.532
278,297.127,2023-03-01,,6.544,,62.0,0.33107299561230497,266272,160892,,8.1,1437.0,1528.0,331.72900000000004
279,301.457,2023-04-01,,6.3425,60852.0,63.5,0.50590386832584,266443,161031,495100.0,7.6,1417.0,1416.0,333.54900000000004
280,305.402,2023-05-01,,6.425,,59.2,0.25184350102024106,266618,160721,,7.3,1496.0,1534.0,338.154
281,308.254,2023-06-01,,6.714,,64.4,0.32289142364864504,266801,160994,,7.5,1441.0,1498.0,337.95300000000003
