Table 41: Buying Conditions for Houses
Month,Year,Good time to Buy,Uncertain / Depends,Bad time to Buy,Relative,
5,2016,77,2,21,156,
6,2016,76,2,22,154,
7,2016,75,3,22,153,
8,2016,78,1,21,157,
9,2016,76,1,23,153,
10,2016,72,2,26,146,
11,2016,74,1,25,149,
12,2016,73,2,25,148,
1,2017,77,2,21,156,
2,2017,75,1,24,151,
3,2017,74,2,24,150,
4,2017,76,3,21,155,
5,2017,72,1,27,145,
6,2017,70,3,27,143,
7,2017,71,4,25,146,
8,2017,69,2,29,140,
9,2017,68,2,30,138,
10,2017,73,3,24,149,
11,2017,71,2,27,144,
12,2017,69,2,29,140,
1,2018,67,3,30,137,
2,2018,68,3,29,139,
3,2018,69,3,28,141,
4,2018,71,2,27,144,
5,2018,69,2,29,140,
6,2018,67,3,30,137,
7,2018,68,1,31,137,
8,2018,64,3,33,131,
9,2018,69,3,28,141,
10,2018,66,3,31,135,
11,2018,64,4,32,132,
12,2018,64,2,34,130,
1,2019,63,3,34,129,
2,2019,66,2,32,134,
3,2019,68,2,30,138,
4,2019,65,3,32,133,
5,2019,64,2,34,130,
6,2019,70,2,28,142,
7,2019,67,3,30,137,
8,2019,65,2,33,132,
9,2019,65,2,33,132,
10,2019,66,2,32,134,
11,2019,67,2,31,136,
12,2019,68,2,30,138,
1,2020,70,3,27,143,
2,2020,70,2,28,142,
3,2020,65,3,32,133,
4,2020,51,3,46,105,
5,2020,58,3,39,119,
6,2020,64,2,34,130,
7,2020,65,3,32,133,
8,2020,66,1,33,133,
9,2020,65,2,33,132,
10,2020,69,3,28,141,
11,2020,65,2,33,132,
12,2020,66,2,32,134,
1,2021,62,2,36,126,
2,2021,62,1,37,125,
3,2021,63,1,36,127,
4,2021,56,2,42,114,
5,2021,44,2,54,90,
6,2021,36,2,62,74,
7,2021,32,2,66,66,
8,2021,33,2,65,68,
9,2021,32,2,66,66,
10,2021,38,1,61,77,
11,2021,31,1,68,63,
12,2021,38,2,60,78,
1,2022,38,1,61,77,
2,2022,36,1,63,73,
3,2022,31,1,68,63,
4,2022,29,4,67,62,
5,2022,22,1,77,45,
6,2022,21,1,78,43,
7,2022,23,1,76,47,
8,2022,22,4,74,48,
9,2022,24,1,75,49,
10,2022,21,1,78,43,
11,2022,16,1,83,33,
12,2022,16,2,82,34,
1,2023,21,2,77,44,
2,2023,25,1,74,51,
3,2023,22,3,75,47,
4,2023,23,4,73,50,
5,2023,18,2,80,38,
6,2023,23,1,76,47,
7,2023,24,2,74,50,
